id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10
139,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,29-Oct-2017,08:00,0.0,
140,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,29-Oct-2017,12:00,0.0,
141,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171022,29-Oct-2017,16:00,0.0,
142,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171030,30-Oct-2017,00:00,0.0,
146,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171030,30-Oct-2017,16:00,0.0,
147,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171030,30-Oct-2017,20:00,16.38,
148,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171030,31-Oct-2017,00:00,8.44,
149,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171030,31-Oct-2017,04:00,11.55,
150,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171030,31-Oct-2017,08:00,8.3,
151,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171030,31-Oct-2017,12:00,7.91,
152,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171030,31-Oct-2017,16:00,160.15,
153,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171030,31-Oct-2017,20:00,287.34,
2171,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",site_273,Uttar Pradesh,uttarpradesh_varanasi_site_273_20171006,07-Oct-2017,08:00,52.14,129.5
2172,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",site_273,Uttar Pradesh,uttarpradesh_varanasi_site_273_20171006,07-Oct-2017,12:00,39.5,95.31
2173,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",site_273,Uttar Pradesh,uttarpradesh_varanasi_site_273_20171014,14-Oct-2017,00:00,188.69,255.62
2174,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",site_273,Uttar Pradesh,uttarpradesh_varanasi_site_273_20171014,14-Oct-2017,04:00,146.31,241.5
2175,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",site_273,Uttar Pradesh,uttarpradesh_varanasi_site_273_20171014,14-Oct-2017,08:00,109.38,213.75
2176,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",site_273,Uttar Pradesh,uttarpradesh_varanasi_site_273_20171014,14-Oct-2017,12:00,56.25,221.0
2177,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",site_273,Uttar Pradesh,uttarpradesh_varanasi_site_273_20171014,14-Oct-2017,16:00,86.25,330.5
2178,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",site_273,Uttar Pradesh,uttarpradesh_varanasi_site_273_20171014,14-Oct-2017,20:00,133.94,316.12
2179,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",site_273,Uttar Pradesh,uttarpradesh_varanasi_site_273_20171014,15-Oct-2017,00:00,98.31,193.12
