id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10,just_date,just_month,just_year
40054,Delhi,"NSIT Dwarka, New Delhi - CPCB",site_115,Delhi,run2_delhi_delhi_site_115_20161021,21-Oct-2016,16:00,,,21,Oct,2016
40055,Delhi,"NSIT Dwarka, New Delhi - CPCB",site_115,Delhi,run2_delhi_delhi_site_115_20161021,21-Oct-2016,20:00,,,21,Oct,2016
40510,Delhi,"Najafgarh, Delhi - DPCC",site_1427,Delhi,run2_delhi_delhi_site_1427_20161021,21-Oct-2016,00:00,,,21,Oct,2016
40511,Delhi,"Najafgarh, Delhi - DPCC",site_1427,Delhi,run2_delhi_delhi_site_1427_20161021,21-Oct-2016,04:00,,,21,Oct,2016
40512,Delhi,"Najafgarh, Delhi - DPCC",site_1427,Delhi,run2_delhi_delhi_site_1427_20161021,21-Oct-2016,08:00,,,21,Oct,2016
40513,Delhi,"Najafgarh, Delhi - DPCC",site_1427,Delhi,run2_delhi_delhi_site_1427_20161021,21-Oct-2016,12:00,,,21,Oct,2016
40514,Delhi,"Najafgarh, Delhi - DPCC",site_1427,Delhi,run2_delhi_delhi_site_1427_20161021,21-Oct-2016,16:00,,,21,Oct,2016
40515,Delhi,"Najafgarh, Delhi - DPCC",site_1427,Delhi,run2_delhi_delhi_site_1427_20161021,21-Oct-2016,20:00,,,21,Oct,2016
40960,Delhi,"Narela, Delhi - DPCC",site_1426,Delhi,run2_delhi_delhi_site_1426_20161021,21-Oct-2016,00:00,,,21,Oct,2016
40961,Delhi,"Narela, Delhi - DPCC",site_1426,Delhi,run2_delhi_delhi_site_1426_20161021,21-Oct-2016,04:00,,,21,Oct,2016
40962,Delhi,"Narela, Delhi - DPCC",site_1426,Delhi,run2_delhi_delhi_site_1426_20161021,21-Oct-2016,08:00,,,21,Oct,2016
40963,Delhi,"Narela, Delhi - DPCC",site_1426,Delhi,run2_delhi_delhi_site_1426_20161021,21-Oct-2016,12:00,,,21,Oct,2016
40964,Delhi,"Narela, Delhi - DPCC",site_1426,Delhi,run2_delhi_delhi_site_1426_20161021,21-Oct-2016,16:00,,,21,Oct,2016
40965,Delhi,"Narela, Delhi - DPCC",site_1426,Delhi,run2_delhi_delhi_site_1426_20161021,21-Oct-2016,20:00,,,21,Oct,2016
41420,Delhi,"Nehru Nagar, Delhi - DPCC",site_1429,Delhi,run2_delhi_delhi_site_1429_20161021,21-Oct-2016,00:00,,,21,Oct,2016
41421,Delhi,"Nehru Nagar, Delhi - DPCC",site_1429,Delhi,run2_delhi_delhi_site_1429_20161021,21-Oct-2016,04:00,,,21,Oct,2016
41422,Delhi,"Nehru Nagar, Delhi - DPCC",site_1429,Delhi,run2_delhi_delhi_site_1429_20161021,21-Oct-2016,08:00,,,21,Oct,2016
41423,Delhi,"Nehru Nagar, Delhi - DPCC",site_1429,Delhi,run2_delhi_delhi_site_1429_20161021,21-Oct-2016,12:00,,,21,Oct,2016
41424,Delhi,"Nehru Nagar, Delhi - DPCC",site_1429,Delhi,run2_delhi_delhi_site_1429_20161021,21-Oct-2016,16:00,,,21,Oct,2016
41425,Delhi,"Nehru Nagar, Delhi - DPCC",site_1429,Delhi,run2_delhi_delhi_site_1429_20161021,21-Oct-2016,20:00,,,21,Oct,2016
41870,Delhi,"North Campus, DU, New Delhi - IMD",site_105,Delhi,run2_delhi_delhi_site_105_20161021,21-Oct-2016,00:00,,,21,Oct,2016
